group,folder,name,description,authors,settings,patches,before_send,before_edit,flux,render,native,verdict,ported
testcordplugins,fakeMuteDeafen,FakeMuteDeafen,Show button in user area (voice controls),"TestcordDevs.x2b,TestcordDevs.dot,Testco",8,False,False,False,False,False,,excluded,
testcordplugins,fakePerm,FakePerm,Visually simulates moderation options in the right-click menu. No real action.,"{name:""Nightcord"",id:0n}",1,True,False,False,False,False,,excluded,
testcordplugins,fakeUserProfile,FakeUserProfile,Fake User Profile,TestcordDevs.x2b,2,True,False,False,True,False,,excluded,
testcordplugins,fastDiscord,FastDiscord,"Maximizes app smoothness and responsiveness: animations, media, memory cache, background FPS, and network (pre","{name:"">Snayz"",id:1361345963175968779n}",14,False,False,False,False,False,,portable-logic,
testcordplugins,fastPFP,FastPFP,Allows you to quickly set any image as your profile picture or banner from the context menu.,"{name:""Unknown"",id:0n}",1,False,False,False,False,False,,portable-logic,
testcordplugins,fastPing,FastPing,Double-click a user ID you just typed in the chat box to instantly turn it into a <@mention>.,"{name:""Unknown"",id:0n}",1,False,False,False,False,False,,portable-logic,
testcordplugins,favoriteMedia,FavoriteMedia,Favorite any type of media,TestcordDevs.x2b,0,True,False,False,False,False,,rewrite,
testcordplugins,femboyCommand,Danbooru,Sends a random femboy picture via /femboy. Uses 7 APIs with random order and automatic fallback.,TestcordDevs.x2b,0,False,False,False,False,False,,portable-ui,
testcordplugins,fileSplitter,File Splitter,Chunk size in MB (1-100),TestcordDevs.x2b,4,False,False,False,False,False,,portable-ui,
testcordplugins,fixScreenshare,FixScreenshare,Prevents Discord from crashing and reloading when screensharing by intercepting media-related errors and block,"{name:""x2b"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,floodPanel,FloodPanel,Where to show the button,EquicordDevs.nobody,4,False,False,False,False,False,,excluded,
testcordplugins,followMe,FollowMe,Forces a user to follow you in voice channels (if you have permissions). Right-click a user -> Follow Me.,"{name:""Nightcord"",id:0n}",2,False,False,False,True,False,,portable-hook,
testcordplugins,followVoiceUser-advanced,FollowVoiceUser-Extand,Only follow the user when you are in a voice channel,TestcordDevs.x2b,4,False,False,False,True,False,,portable-hook,
testcordplugins,forcemono,opus,Force all incoming audio to mono,"{name:""deracul"",id:1454268753629024529n}",2,False,False,False,False,False,,portable-logic,
testcordplugins,freezePresence,FreezePresence,Freeze the member list — stop it from jumping around when people change status.,TestcordDevs.nnenaza,2,True,False,False,False,False,,rewrite,
testcordplugins,friendsInVoice,FriendsInVoice,"Also list friends who are in a DM or group call, not just server voice channels.",TestcordDevs.LOSTSTR,4,False,False,False,False,False,,portable-ui,
testcordplugins,friendsScrapper,FriendsRemover,Where to show the button,TestcordDevs.x2b,3,False,False,False,False,False,,portable-logic,
testcordplugins,gatewayLogger,GatewayLogger,logs gateway events to the console,"
{id:253302259696271360n,name:""zastix""},",0,True,False,False,False,False,,rewrite,
testcordplugins,getMyToken,getMyToken,Get your token with a slash command.,"{name:""Sami"",id:1403404140461297816n}",0,False,False,False,False,False,,excluded,
testcordplugins,ghostClient,GhostClient,"Discord ghost accounts — left-click to enable/disable, right-click to configure.","{name:""Nightcord"",id:0n}",1,False,False,False,False,False,native.ts,excluded,
testcordplugins,ghostPingAlert,GhostPingAlert,Also alert when @everyone / @here messages are deleted,"{name:""Sharp"",id:0n}",1,False,False,False,False,False,,portable-logic,
testcordplugins,gifCaptioner,GifCaptioner,Add captions to GIFs in the GIF picker.,EquicordDevs.benjii,0,True,False,False,False,False,,rewrite,
testcordplugins,gifSpammer,GifSpammer,Send all your favorite GIFs to the current channel with a 2 second delay between each.,TestcordDevs.nnenaza,0,False,False,False,False,False,,portable-ui,
testcordplugins,gifTransfer,GifTransfer,Skip GIFs that are already in your favorites when importing,"TestcordDevs.nnenaza,TestcordDevs.x2b",5,True,False,False,False,False,,rewrite,
testcordplugins,glassPanels,GlassPanels,Frosted-glass blur on the sidebar and member list.,"{name:""Sharp"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,goofcordSettings,GoofcordSettings,Apply paint containment to the message list and member list so they scroll without repainting the full layer o,TestcordDevs.x2b,2,True,False,False,False,False,,rewrite,
testcordplugins,goofcordsec,GoofcordSecurity,Where to show the encryption button,TestcordDevs.sirphantom89,21,False,False,False,False,False,native.ts,excluded,
testcordplugins,grammar,Grammar,Words that will not be capitalised,TestcordDevs.x2b,0,False,False,False,False,False,,portable-logic,
testcordplugins,grammarFix,GrammarFix,Auto Capitalization to the first letter,TestcordDevs.x2b,3,False,False,False,False,False,,portable-logic,
testcordplugins,greedcmds,GreedCmds,"Automatically re-add uwulock protect when someone removes it from you or protected users. Triggers on ,uwulock",TestcordDevs.x2b,8,False,False,False,True,False,,portable-hook,
testcordplugins,gridFloor,GridFloor,Scrolling retro grid floor along the bottom of the window.,"{name:""Sharp"",id:0n}",0,False,False,False,False,False,,portable-logic,
testcordplugins,groupKicker,GroupKicker,Enable the GroupKicker plugin,"
{
name:""Bash"",
id:1327483363518582784n,",5,False,False,False,False,False,,portable-logic,
testcordplugins,guildCopier,bots-list,Copy roles from the original guild,"TestcordDevs.x2b,TestcordDevs.nnenaza",8,False,False,False,False,False,,excluded,
testcordplugins,hideSoap,AntiSoap (hideSoap),Detect Hebrew Unicode characters (\u0590-\u05FF),TestcordDevs.x2b,7,False,False,False,True,False,,portable-hook,
testcordplugins,huskbot,Huskbot,Comma-separated list of channel IDs to watch,Devs.nin0dev,4,False,False,False,True,False,,portable-hook,
testcordplugins,hyprTiles,HyprTiles,"Hyprland-style tiled workspaces for Discord channels, DMs, and threads.",EquicordDevs.benjii,1,True,False,False,False,False,native.ts,native-feature,
testcordplugins,idTranslater,ID Translater,Convert user IDs to clickable @ mentions,TestcordDevs.x2b,0,False,False,False,False,False,,portable-logic,
testcordplugins,identity.discordDesktop,Identity,Allows you to edit your profile to a random fake person with the click of a button,TestcordDevs.x2b,0,True,False,False,False,False,native.ts,native-feature,
testcordplugins,idlePage,IdlePage,Hex code of the backgorund. needs #,TestcordDevs.x2b,5,True,False,False,True,False,,rewrite,
testcordplugins,impersonate,Impersonate,Impersonate a user and have them send a message,TestcordDevs.x2b,0,False,False,False,False,False,,excluded,
testcordplugins,importMultiTokens,ImportMultiTokens,Import tokens to Token Login Manager,TestcordDevs.x2b,1,False,False,False,False,False,,excluded,
testcordplugins,inviteDefaults,InviteDefaults,Invite Duration,"{name:""Death"",id:1003477997728313405n}",3,True,False,False,False,False,,rewrite,
testcordplugins,jstextreplace,JSTextReplace,"TextReplace, with JavaScript replacements",Devs.nin0dev,3,False,False,False,False,False,,portable-ui,
testcordplugins,laisse,Leash,Enable Leash plugin,TestcordDevs.x2b,5,False,False,False,True,False,,portable-hook,
testcordplugins,lastOnline,LastOnline,Also show the last online indicator in server member lists,TestcordDevs.x2b,2,False,False,False,True,False,,portable-hook,
testcordplugins,lastfmRichPresence,Last.fm,Your Last.fm API key. Get one free at last.fm/api/account/create.,"{name:""Sharp"",id:0n}",8,False,False,False,False,False,,portable-logic,
testcordplugins,lazyMessageRender,LazyMessageRender,Prevents message action toolbar from clipping under the message above. content-visibility was removed — Discor,TestcordDevs.x2b,0,False,False,False,False,False,,portable-logic,
testcordplugins,leaveAllGroups,LeaveAllGroups,Enable the LeaveAllGroups plugin,TestcordDevs.x2b,6,False,False,False,False,False,,excluded,
